time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
7.000000000000000666e-01,1.998531607460340709e+01,4.998633504226646984e+00,4.998633504226867252e+00,-1.694669389975253793e-01,-1.897458417043446782e-02,-1.897458416761432093e-02
7.099999999999999645e-01,1.998497452558072851e+01,4.998591185226585409e+00,4.998591185226812783e+00,-1.699540667888479184e-01,-1.939423265907659621e-02,-1.939423265621854908e-02
7.199999999999999734e-01,1.998463297655804638e+01,4.998548866226524723e+00,4.998548866226757426e+00,-1.704411945801704575e-01,-1.981388114771873155e-02,-1.981388114482277724e-02
7.299999999999999822e-01,1.998429142753536425e+01,4.998506547226463148e+00,4.998506547226702068e+00,-1.709283223714929967e-01,-2.023352963636085994e-02,-2.023352963342700886e-02
7.399999999999999911e-01,1.998394987851268212e+01,4.998464228226402462e+00,4.998464228226646711e+00,-1.714154501628155358e-01,-2.065317812500299527e-02,-2.065317812203124048e-02
7.500000000000000000e-01,1.998360832948999999e+01,4.998421909226340887e+00,4.998421909226592241e+00,-1.719025779541380750e-01,-2.107282661364512713e-02,-2.107282661063546864e-02
7.600000000000000089e-01,1.998326678046732141e+01,4.998379590226280200e+00,4.998379590226536884e+00,-1.723897057454606419e-01,-2.149247510228725899e-02,-2.149247509923969679e-02
7.700000000000000178e-01,1.998292523144463928e+01,4.998337271226218625e+00,4.998337271226481526e+00,-1.728768335367831810e-01,-2.191212359092939085e-02,-2.191212358784392841e-02
7.800000000000000266e-01,1.998258368242195715e+01,4.998294952226157939e+00,4.998294952226426169e+00,-1.733639613281057201e-01,-2.233177207957152272e-02,-2.233177207644816004e-02
7.900000000000000355e-01,1.998224213339927502e+01,4.998252633226096364e+00,4.998252633226371699e+00,-1.738510891194282593e-01,-2.275142056821365458e-02,-2.275142056505238819e-02
8.000000000000000444e-01,1.998190058437659289e+01,4.998210314226035678e+00,4.998210314226316342e+00,-1.743382169107507984e-01,-2.317106905685578644e-02,-2.317106905365661981e-02
8.100000000000000533e-01,1.998155903535391431e+01,4.998167995225974103e+00,4.998167995226260985e+00,-1.748253447020733375e-01,-2.359071754549792177e-02,-2.359071754226085144e-02
8.200000000000000622e-01,1.998121748633123218e+01,4.998125676225913416e+00,4.998125676226205627e+00,-1.753124724933958767e-01,-2.401036603414005016e-02,-2.401036603086507959e-02
8.300000000000000711e-01,1.998087593730855005e+01,4.998083357225851842e+00,4.998083357226151158e+00,-1.757996002847184158e-01,-2.443001452278218549e-02,-2.443001451946930774e-02
8.399999999999999689e-01,1.998053438828586792e+01,4.998041038225791155e+00,4.998041038226095800e+00,-1.762867280760409550e-01,-2.484966301142431389e-02,-2.484966300807353590e-02
8.499999999999999778e-01,1.998019283926318579e+01,4.997998719225729580e+00,4.997998719226040443e+00,-1.767738558673634941e-01,-2.526931150006644228e-02,-2.526931149667776405e-02
8.599999999999999867e-01,1.997985129024050366e+01,4.997956400225668894e+00,4.997956400225985085e+00,-1.772609836586860610e-01,-2.568895998870857761e-02,-2.568895998528199567e-02
