time,pos_x_altitude,pos_y_crossrange,pos_z_downrange,vel_x_altitude,vel_y_crossrange,vel_z_downrange,control_x,control_y,control_z,log_mass,mass_kg,thrust_slack,thrust_magnitude,velocity_magnitude,position_magnitude,fuel_consumed_kg,throttle_percentage,accel_thrust_x,accel_thrust_y,accel_thrust_z,accel_thrust_magnitude,accel_total_x,accel_total_y,accel_total_z,accel_total_magnitude,accel_gravity_x,accel_gravity_y,accel_gravity_z,accel_gravity_magnitude,accel_thrust_gforce,accel_total_gforce
32.99,8.067856523475449,2.48480556552251,2.484805565521219,-0.4115099138853905,-0.624449939100899,-0.6244499391019309,4.1092042462427845,0.005125682482598342,0.005125682483375007,5.286373799287815,197.625495825953,4.109211631681547,4.109211594432877,0.9744353889475958,8.799991566485636,2.3745041740469817,0.20546057972164386,4.1092042462427845,0.005125682482598342,0.005125682483375007,4.109211594432877,0.39920424624278483,0.005125682482598342,0.005125682483375007,0.39928458427362223,-3.71,0.0,0.0,3.71,1.10760420335118,0.10762387716270141
33.0,8.067045824981834,2.483567147917308,2.483567147916015,-0.41072764625895175,-0.6244392316047915,-0.624439231605822,4.107845659807279,0.005203232723684935,0.0052032327244618,5.286369728997452,197.62469144433283,4.107853251922103,4.107853214681102,0.9740930978650129,8.798549603760701,2.3753085556671825,0.20539266073405507,4.107845659807279,0.005203232723684935,0.0052032327244618,4.107853214681102,0.3978456598072794,0.005203232723684935,0.0052032327244618,0.3979284264497117,-3.71,0.0,0.0,3.71,1.1072380632563616,0.1072583359702727
33.01,8.06623512648822,2.482328730312106,2.482328730310811,-0.40994537863251296,-0.6244285241086841,-0.6244285241097131,4.106487073371774,0.005280782964771529,0.005280782965548593,5.28636565870709,197.6238870627126,4.106494872162658,4.106494834929325,0.9737508067824299,8.797107641035767,2.376112937287383,0.20532474174646628,4.106487073371774,0.005280782964771529,0.005280782965548593,4.106494834929325,0.39648707337177397,0.005280782964771529,0.005280782965548593,0.3965722686258012,-3.71,0.0,0.0,3.71,1.1068719231615431,0.10689279477784398
33.02,8.065424427994605,2.481090312706903,2.481090312705606,-0.4091631110060736,-0.6244178166125767,-0.6244178166136041,4.105128486936268,0.005358333205858178,0.005358333206635441,5.286361588416727,197.62308268109243,4.105136492403213,4.105136455177549,0.9734085156998465,8.795665678310831,2.376917318907584,0.20525682275887744,4.105128486936268,0.005358333205858178,0.005358333206635441,4.105136455177549,0.39512848693626756,0.005358333205858178,0.005358333206635441,0.3952161108018897,-3.71,0.0,0.0,3.71,1.1065057830667246,0.10652725358541501
33.03,8.06461372950099,2.4798518951017012,2.479851895100402,-0.4083808433796348,-0.6244071091164693,-0.6244071091174951,4.103769900500762,0.00543588344694477,0.005435883447722234,5.286357518126365,197.6222782994722,4.103778112643768,4.103778075425772,0.9730662246172636,8.794223715585897,2.3777217005277844,0.20518890377128862,4.103769900500762,0.00543588344694477,0.005435883447722234,4.103778075425772,0.39376990050076216,0.00543588344694477,0.005435883447722234,0.39385995297797916,-3.71,0.0,0.0,3.71,1.1061396429719064,0.1061617123929863
33.04,8.063803031007376,2.478613477496499,2.478613477495198,-0.407598575753196,-0.6243964016203619,-0.6243964016213862,4.1024113140652565,0.005513433688031364,0.005513433688809027,5.286353447836002,197.62147391785203,4.102419732884324,4.102419695673997,0.9727239335346806,8.792781752860963,2.378526082147985,0.20512098478369983,4.1024113140652565,0.005513433688031364,0.005513433688809027,4.102419695673997,0.39241131406525676,0.005513433688031364,0.005513433688809027,0.39250379515406864,-3.71,0.0,0.0,3.71,1.105773502877088,0.10579617120055759
33.05,8.062992332513762,2.477375059891297,2.4773750598899937,-0.4068163081267573,-0.6243856941242545,-0.6243856941252772,4.101052727629751,0.005590983929117958,0.00559098392989582,5.28634937754564,197.62066953623182,4.101061353124879,4.101061315922221,0.9723816424520976,8.791339790136028,2.3793304637681856,0.20505306579611104,4.101052727629751,0.005590983929117958,0.00559098392989582,4.101061315922221,0.3910527276297513,0.005590983929117958,0.00559098392989582,0.3911476373301581,-3.71,0.0,0.0,3.71,1.1054073627822698,0.10543063000812887
33.06,8.062181634020146,2.4761366422860944,2.476136642284789,-0.40603404050031794,-0.624374986628147,-0.6243749866291682,4.099694141194245,0.005668534170204607,0.005668534170982668,5.286345307255277,197.6198651546116,4.099702973365433,4.099702936170444,0.9720393513695144,8.789897827411092,2.380134845388387,0.2049851468085222,4.099694141194245,0.005668534170204607,0.005668534170982668,4.099702936170444,0.38969414119424495,0.005668534170204607,0.005668534170982668,0.38979147950624665,-3.71,0.0,0.0,3.71,1.1050412226874513,0.1050650888156999
33.07,8.061370935526531,2.474898224680892,2.4748982246795848,-0.40525177287387915,-0.6243642791320396,-0.6243642791330593,4.09833555475874,0.005746084411291199,0.005746084412069461,5.2863412369649145,197.61906077299142,4.098344593605989,4.0983445564186685,0.9716970602869314,8.788455864686158,2.380939227008587,0.2049172278209334,4.09833555475874,0.005746084411291199,0.005746084412069461,4.0983445564186685,0.3883355547587395,0.005746084411291199,0.005746084412069461,0.38843532168233613,-3.71,0.0,0.0,3.71,1.1046750825926328,0.10469954762327119
33.08,8.060560237032917,2.4736598070756903,2.4736598070743807,-0.40446950524744035,-0.6243535716359322,-0.6243535716369504,4.096976968323234,0.0058236346523777936,0.005823634653156254,5.286337166674552,197.6182563913712,4.096986213846544,4.096986176666892,0.9713547692043484,8.787013901961222,2.381743608628788,0.2048493088333446,4.096976968323234,0.0058236346523777936,0.005823634653156254,4.096986176666892,0.3869769683232341,0.0058236346523777936,0.005823634653156254,0.38707916385842556,-3.71,0.0,0.0,3.71,1.1043089424978145,0.10433400643084248
33.09,8.059749538539302,2.4724213894704876,2.472421389469176,-0.403687237621001,-0.6243428641398248,-0.6243428641408414,4.095618381887728,0.005901184893464442,0.005901184894243103,5.2863330963841895,197.61745200975102,4.095627834087099,4.095627796915116,0.971012478121765,8.785571939236288,2.382547990248989,0.20478138984575575,4.095618381887728,0.005901184893464442,0.005901184894243103,4.095627796915116,0.3856183818877277,0.005901184893464442,0.005901184894243103,0.3857230060345141,-3.71,0.0,0.0,3.71,1.103942802402996,0.1039684652384135
33.1,8.058938840045688,2.4711829718652853,2.4711829718639717,-0.40290496999456227,-0.6243321566437173,-0.6243321566447324,4.094259795452222,0.005978735134551035,0.0059787351353298955,5.286329026093827,197.6166476281308,4.094269454327654,4.094269417163339,0.9706701870391821,8.784129976511352,2.3833523718691896,0.20471347085816696,4.094259795452222,0.005978735134551035,0.0059787351353298955,4.094269417163339,0.3842597954522223,0.005978735134551035,0.0059787351353298955,0.3843668482106036,-3.71,0.0,0.0,3.71,1.1035766623081777,0.10360292404598478
33.11,8.058128141552073,2.4699445542600835,2.4699445542587677,-0.4021227023681235,-0.62432144914761,-0.6243214491486234,4.092901209016717,0.0060562853756376284,0.006056285376416689,5.286324955803464,197.61584324651062,4.09291107456821,4.092911037411564,0.9703278959565991,8.782688013786418,2.38415675348939,0.20464555187057817,4.092901209016717,0.0060562853756376284,0.006056285376416689,4.092911037411564,0.38290120901671687,0.0060562853756376284,0.006056285376416689,0.38301069038669305,-3.71,0.0,0.0,3.71,1.1032105222133595,0.10323738285355608
33.12,8.057317443058459,2.4687061366548813,2.4687061366535636,-0.4013404347416847,-0.6243107416515026,-0.6243107416525145,4.091542622581211,0.006133835616724223,0.006133835617503481,5.286320885513102,197.6150388648904,4.091552694808765,4.091552657659788,0.9699856048740161,8.781246051061483,2.3849611351095907,0.20457763288298939,4.091542622581211,0.006133835616724223,0.006133835617503481,4.091552657659788,0.3815426225812114,0.006133835616724223,0.006133835617503481,0.38165453256278253,-3.71,0.0,0.0,3.71,1.1028443821185412,0.10287184166112737
33.13,8.056506744564844,2.4674677190496785,2.4674677190483587,-0.40055816711524533,-0.6243000341553951,-0.6243000341564056,4.090184036145705,0.006211385857810871,0.00621138585859033,5.286316815222739,197.6142344832702,4.090194315049319,4.090194277908011,0.9696433137914329,8.779804088336547,2.3857655167297915,0.20450971389540054,4.090184036145705,0.006211385857810871,0.00621138585859033,4.090194277908011,0.38018403614570506,0.006211385857810871,0.00621138585859033,0.380298374738871,-3.71,0.0,0.0,3.71,1.1024782420237225,0.10250630046869838
33.14,8.05569604607123,2.4662293014444767,2.4662293014431547,-0.39977589948880654,-0.6242893266592877,-0.6242893266602966,4.0888254497102,0.006288936098897464,0.006288936099677123,5.286312744932377,197.61343010165,4.088835935289875,4.088835898156235,0.9693010227088498,8.778362125611613,2.3865698983499923,0.20444179490781172,4.0888254497102,0.006288936098897464,0.006288936099677123,4.088835898156235,0.3788254497101996,0.006288936098897464,0.006288936099677123,0.3789422169149605,-3.71,0.0,0.0,3.71,1.1021121019289042,0.10214075927626967
33.15,8.054885347577615,2.4649908838392744,2.4649908838379506,-0.39899363186236775,-0.6242786191631803,-0.6242786191641877,4.087466863274694,0.006366486339984058,0.006366486340763916,5.286308674642015,197.6126257200298,4.08747755553043,4.087477518404459,0.9689587316262668,8.776920162886679,2.3873742799701927,0.20437387592022294,4.087466863274694,0.006366486339984058,0.006366486340763916,4.087477518404459,0.3774668632746942,0.006366486339984058,0.006366486340763916,0.37758605909105,-3.71,0.0,0.0,3.71,1.101745961834086,0.10177521808384096
33.160000000000004,8.054074649083999,2.4637524662340717,2.4637524662327457,-0.39821136423592846,-0.6242679116670729,-0.6242679116680787,4.086108276839187,0.0064440365810707065,0.006444036581850764,5.286304604351653,197.6118213384096,4.086119175770985,4.086119138652682,0.9686164405436836,8.775478200161743,2.388178661590394,0.2043059569326341,4.086108276839187,0.0064440365810707065,0.006444036581850764,4.086119138652682,0.3761082768391878,0.0064440365810707065,0.006444036581850764,0.3762299012671385,-3.71,0.0,0.0,3.71,1.1013798217392674,0.10140967689141199
33.17,8.053263950590384,2.4625140486288695,2.4625140486275416,-0.39742909660948966,-0.6242572041709654,-0.6242572041719697,4.084749690403682,0.0065215868221573,0.006521586822937558,5.28630053406129,197.6110169567894,4.08476079601154,4.084760758900906,0.9682741494611006,8.774036237436809,2.3889830432105943,0.2042380379450453,4.084749690403682,0.0065215868221573,0.006521586822937558,4.084760758900906,0.3747496904036824,0.0065215868221573,0.006521586822937558,0.37487374344322794,-3.71,0.0,0.0,3.71,1.1010136816444491,0.10104413569898327
