time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z
0.27,19.99571789945294,4.999711956229012,4.999711956229067,-0.08564201094118784,-0.00576087541984708,-0.005760875418734293,-1.5016089720557635,-0.11521750839745763,-0.11521750837520195
0.28,19.995559303136385,4.999701287941197,4.999701287941255,-0.08881393727234056,-0.005974241176138337,-0.005974241174984336,-1.4470356753681992,-0.11948482352328943,-0.11948482350020946
0.29,19.995400706819826,4.999690619653383,4.9996906196534425,-0.09198586360349327,-0.006187606932429593,-0.006187606931234377,-1.3924623786806352,-0.12375213864912121,-0.12375213862521696
0.3,19.99524211050327,4.999679951365568,4.999679951365629,-0.095157789934646,-0.00640097268872085,-0.00640097268748442,-1.3378890819930709,-0.128019453774953,-0.12801945375022447
0.31,19.99508351418671,4.999669283077754,4.999669283077817,-0.09832971626579873,-0.006614338445012106,-0.006614338443734462,-1.2833157853055064,-0.1322867689007848,-0.132286768875232
0.32,19.994924917870154,4.999658614789939,4.999658614790005,-0.10150164259695146,-0.006827704201303363,-0.006827704199984505,-1.228742488617942,-0.13655408402661662,-0.1365540840002395
0.33,19.994766321553595,4.999647946502125,4.999647946502193,-0.10467356892810419,-0.0070410699575946195,-0.007041069956234547,-1.1741691919303778,-0.1408213991524484,-0.14082139912524702
0.34,19.99460772523704,4.99963727821431,4.99963727821438,-0.10784549525925691,-0.007254435713885877,-0.00725443571248459,-1.1195958952428133,-0.1450887142782802,-0.14508871425025452
0.35000000000000003,19.99444912892048,4.999626609926496,4.999626609926567,-0.11101742159040964,-0.007467801470177133,-0.007467801468734632,-1.065022598555249,-0.149356029404112,-0.14935602937526204
0.36,19.994290532603923,4.999615941638681,4.999615941638755,-0.11418934792156235,-0.007681167226468389,-0.007681167224984673,-1.010449301867685,-0.15362334452994378,-0.15362334450026954
0.37,19.994131936287364,4.999605273350867,4.999605273350943,-0.11736127425271507,-0.007894532982759645,-0.007894532981234716,-0.9558760051801207,-0.15789065965577556,-0.15789065962527704
